BUS,PD,QD,Vmax,Vmin,basekV,zone
1,83.31456957030271,21.486231807329734,1.0677381695942672,0.9132607299925277,1,1
2,12.70791870513599,4.119868130448519,1.077441148924676,0.9369826226590316,1,1
3,28.941361215984436,17.883553749020404,1.0531846049948161,0.9219569225181384,1,1
4,47.96436550171014,14.566970733820629,1.0865222687212106,0.9174823900143244,1,1
5,51.211579608717216,27.620259768856094,1.0569824796877763,0.9123712287127312,1,1
6,23.096805341490185,15.716033720530383,1.0811893233993675,0.9238370544112412,1,1
7,32.64153303453539,5.573351482883761,1.0623204253774088,0.9262891032421047,1,1
8,73.70585439398465,19.850294871609766,1.0677724391764967,0.9350963923664422,1,1
9,91.91557551012392,11.54061768717618,1.088461175384336,0.9325141425767405,1,1
10,0.16099594574229348,6.734825956061174,1.0776680035301665,0.9419189714650081,1,1
11,72.02557580039168,17.94107006262162,1.085379255058541,0.9254025969420018,1,1
