F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.024546400298965765,0.02174739507158653,0,10092,1
1,3,0.014372075063020953,0.0280985875768932,0,9992,1
2,4,0.03007047460699433,0.049915084059391865,0,10049,1
3,5,0.0203307801148137,0.0415570922308654,0,10072,1
4,6,0.04129809021515012,0.05451335629418226,0,10093,1
5,6,0.04872045202886368,0.018704702492996484,0,9917,1
2,5,0.03010326849324254,0.024224945507248657,0,9971,1
3,4,0.04847288563533573,0.011858715385218729,0,9970,1
5,7,0.031922585362751034,0.031013442063584605,0,10041,1
6,7,0.03430747088811085,0.019414616476269575,0,9977,1
3,8,0.01524187095515592,0.03937660584333261,0,9974,1
6,8,0.03160251755661462,0.015503911766963497,0,9945,1
7,9,0.029531997840078962,0.010119467967097897,0,10037,1
6,9,0.027970141943884162,0.025747898398362175,0,9983,1
9,10,0.04364228230149395,0.02171064333542582,0,9961,1
9,11,0.01609712118887032,0.04817926061228585,0,9922,1
8,11,0.05032344993419998,0.023726061596317963,0,9943,1
