BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,151,-50,90,11,61,3
2,-20,151,-50,90,47,31,1
3,-20,150,-50,90,30,13,4
4,-20,150,-50,91,47,82,5
5,-20,150,-50,90,37,66,2
6,-20,150,-50,91,23,79,4
7,-20,151,-50,90,50,12,2
8,-20,150,-50,91,29,85,5
9,-20,151,-50,90,33,36,3
10,-20,150,-50,90,8,89,2
11,-20,150,-50,90,17,32,3
12,-20,150,-50,91,12,70,2
13,-20,151,-50,90,43,5,3
14,-20,150,-50,90,37,28,4
15,-20,151,-50,91,15,91,3
16,-20,150,-50,90,37,83,4
17,-20,151,-50,91,42,81,1
18,-20,150,-50,91,23,47,4
19,-20,150,-50,91,22,38,1
20,-20,150,-50,90,21,65,3
